speech,emotion
술 드시고 오실 때마다 가족끼리 모여서 의논도 해보고 아빠랑 얘기도 해봤지. 하지만 변하는 건 하나도 없어!,Angry
모르겠어. 요즘 프로젝트도 잘 안 되고 그냥 우울해.,Sadness
나 약속이 있는데 그대로 가도 될까?,Fear
지금은 괜찮으셔. 하지만 병원에 입원해서 며칠간 치료받으셔야 한대.,Sadness
그러게. 정말로 그만두고 싶어.,Angry
어쩜 자기가 토 해놓은걸 치우지도 않고 도망갔는지 모르겠어 매너가 정말 꽝이야.	,Angry
나 결국 헤어졌어.,Sadness
버티지 않으면 어떡할거야. 내가 이 회사 들어오려고 얼마나 노력했는데. 난 참을거야.,Sadness
지금 막 퇴근하고 들어왔는데 회사에서 또 전화왔어.,Angry
경기도에 있는 유기견 보호센터를 촬영했더라고. 그곳에 있는 아이들의 상처 받은 눈빛이 아직도 기억이 나.,Sadness
강아지들을 기르다가 유기해버리는 다큐멘터리였어.,Angry
화장실에 토 때문에 볼일을 볼 수가 없으니까 관리하시는 분한테 가서 화장실 청소 좀 해달라고 부탁해야 할 것 같아.,Disgust
면접이 어렵진 않은데 너무 긴장했나봐.,Sadness
응. 청소 말고는 웬만해선 다 맞아.,Angry
"응, 다시 전화해서 물어봐야겠다.	",Neutral
그러게나 말이야 벌써 기다린지 1시간째야.	,Angry
취미 시간을 가져보면 나의 우울한 마음과 무기력증이 사라질 수 있을까?,Sadness
내가 하고있는 일에 진도가 잘 나가지지 않아서 일하고 싶은 마음이 다 사라졌어. 무기력한 날이 점점 늘어가고 있어. 나 어떻게 해야할까?,Sadness
다들 자기 일 아니니까 나 몰라라 하는 것 같아.,Sadness
룸메이트와 너무 자주 싸우고 있어.,Sadness
저번에 대판했거든. 그리고 좀 나아지는가 싶더니 다시 원래 상태로 돌아갔어!,Angry
해피가 어제 세상을 떠났어.,Sadness
약속이 있어서 친구 기다리는데 아직 안 왔어.,Angry
몇 번 더 지켜보고 안 되겠다 싶음 따로 살아야지.,Angry
다른 회사도 준비를 하고 있었는데 준비를 많이 못해서 다음주에 있는 시험을 어떻게 볼지 걱정이야.,Sadness
룸메랑 너무 자주 싸우게 돼. ,Angry
몇 번 이야기 했지. 그런데 오늘은 정말 심해.,Angry
요새 마음이 너무 우울해서 집안에만 있었는데 오늘은 산책을 하면서 우울한 마음을 떨쳐버려야겠어.,Sadness
유기견 다큐멘터리를 봤는데 무책임한 사람들 때문에 너무 화가 나.,Angry
응. 어제 갑자기 병원에 가서 그렇게 되었네.,Sadness
아무도 치우질 않아. 그대로 있어.,Disgust
너무 열악하지. 버려진 강아지들은 너무 많고. 그렇게 하는 생활시설은 별로 없고. 너무 힘든 상황이지.,Sadness
고등학교 때부터 알던 친구인데 이 친구는 약속을 할 때마다 매번 늦게 와 그래서 너무 속상해.	,Angry
친구가 갔다왔는데 허리디스크라고 했대 그리고 주사를 놔줬는데 그 고통이 이루 말할 수가 없었대.	,Fear
나 면접에 또 떨어졌어.,Sadness
내가 얼마나 힘들게 들어온 회사인데 이렇게 그만두고 싶진 않아.,Sadness
"퇴근한 지 얼마나 됐다고, 회사에서 또 연락이 왔어.",Angry
그런가 요즘 괜히 기운도 없고 무기력 하기는 해.	,Sadness
나 내일 약속 있는데 내일 가도 될까?,Fear
요새 감염병이 여기저기 확산되고 있는데 약속 장소가 감염병 확진자가 확인된 강남 지역이야. 그래서 걱정돼.,Fear
평소에 술을 많이 드신 해 그리고 그럴 때마다 사건 사고는 끊이질 않으셨어.	,Sadness
이직 정말 생각 많이 했는데 요즘 취업이 어렵다보니까 고민도 돼.,Sadness
그 사람이 권태기가 왔다고 잠깐 시간을 갖자고 하더라고. 그러더니 끝내 헤어지자고 하는거야.,Sadness
비정규직은 나 하나뿐이야. 나를 이해할 사람은 전혀 없어.,Sadness
과장님한테 전화와서 새로운 업무를 또 주겠다고 하더라고.	,Angry
코로나 영향 탓에 작년보다 세 배는 늘어났대.,Sadness
너무 힘들어 못 하겠어.	,Sadness
괜히 매일 우울한 기분이 들어.,Sadness
오늘이 발표이야. 전화가 안 와서 알아봤더니 내 이름이 없더라고.,Sadness
밥도 생각이 없어. 기운이 너무 없어.,Sadness
모르겠어. 이번에도 안 나아지면 따로 살아야지.,Angry
나 결국 헤어졌어.,Sadness
아니. 연락도 안 받아서 더 화나.,Angry
가끔씩 산책을 하면 기분 전환이 되니까 나의 우울한 마음도 사라질 수 있을 거 같아.,Sadness
너의 조언대로 취미 시간을 가져보면 내 우울한 마음이 조금이나마 사라질 수 있겠지?,Sadness
같이 협상해서 청소 시간을 정해놨거든. 근데 그때마다 약속 있다고 나가버리고 있어.,Angry
고등학교 동창인데 그렇게 친한 사이는 아니었거든.,Neutral
"갑자기 의식을 잃어서 응급실에 데리고 갔는데, 좀 나아지다가 갑자기 세상을 떠났어.",Sadness
연락을 해 봤는데 전화도 안 받아.	,Angry
아휴. 면접에서 또 떨어졌어.,Sadness
처음부터 이러진 않았어. 하지만 최근에 조금씩 늦기 시작하더라고.,Angry
걔가 너무 청소를 안 하고 집을 더럽게 해.,Angry
해피가 어제 세상을 떠났어.	,Sadness
버려지는 유기견들의 생활을 다룬 다큐멘터리였어.,Sadness
엄마가 너무 힘들어 해.	,Sadness
다른 층에 사람들이 너무 많이 줄 서 있어. 우리 층 사람들이 아무래도 간 거 같애.,Disgust
나는 괜찮았는데 친구가 많이 다쳤어.,Sadness
우리 강아지 해피가 세상을 떠났어.	,Sadness
나도 알아. 하지만 정말 바빠. 시간을 낼 수가 없어.,Sadness
면접에 또 떨어져서 너무 답답해서 공원을 걷고 있어.,Sadness
다들 계약직 여직원한텐 관심이 없어.,Sadness
나 결국 헤어졌어.,Sadness
회사는 내가 계약직이라고 얕잡아 보는 것 같아. 어렵게 들어갔으니 버텨야 되겠지!,Angry
그래야겠어. 이번 프로젝트 끝나면 나도 취미생활 좀 하려고.,Sadness
"강남에서 친구를 만나기로 했는데, 요즘 바이러스가 너무 심해서 너무 걱정되더라고. 흠. 어쩌지?",Fear
약속 장소를 옮겨보는 것도 좋은 방법 같아. 그런데 친구한테 물어봐야 할 거 같아.,Fear
술 드시고 오실 때마다 매번 엄마가 붙잡고 얘기는 했지. 그 때 뿐이야.,Angry
아니 털어놓을 사람이 없어서 더 힘든 것 같아.	,Sadness
친구가 아직도 안왔어.,Angry
3년 정도 만났어. 정말 행복한 시간이었거든.,Sadness
알았어 지금처럼 힘든 일 있으면 꼭 얘기 할게 나도 정말 고마워.	,Sadness
요새 일이 너무 많아서 매일 야근하는 것도 힘든데 거기에다 또 새로운 업무를 준다니까 나도 버티기 힘들 거 같아.	,Angry
정부 보조금이랑 사람들의 기부금으로 운영이 되고 있대. 지금은 그것도 안 들어와서 힘들어지고 있대.,Sadness
맞아. 병 들고 약해지면 버리는 것 같애.,Sadness
컨디션이 좋은 날이 별로 없고 진행하고 있는 프로젝트가 잘 풀리지 않아서 우울해.	,Sadness
이 회사 들어가려고 정말 많이 준비했거든 이젠 더 이상 준비할 회사도 없어.	,Sadness
해피가 어제 세상을 떠났어.,Sadness
괜히 매일 우울한 기분이야.,Sadness
권태기가 왔다고 시간을 갖자고 해놓고 헤어지재.	,Sadness
아니. 아직 진지하게 얘기해본 적은 없어.,Angry
친구랑 약속 있어서 나왔는데 이 친구가 아직도 안오고 있어.,Angry
산책이 우울한 마음을 가라앉히는 데 좋다고 하니까 오늘은 오랜만에 산책 좀 해야겠어!,Happiness
이미 화는 내봤어. 다음부터 안 그런다고 하고 또 그렇게 나가고 있어.,Angry
계약기간이 아직 몇 달 더 남아서 참고 살아야 해.,Angry
이제 내가 더 이상 좋지 않대. 그만 만나재.,Sadness
정말 자주 그래서 짜증나.,Angry
인터넷에 명단 떴더라구.,Sadness
"부모님께서 기대를 하셨는데, 떨어진 걸 아시면 너무 실망할 것 같아서 말씀을 못 드렸어.",Sadness
화를 내도 금방 다시 돌아와.,Angry
술 먹고 계단에서 굴렀어.,Sadness
그저께 저녁에 갑자기 의식을 잃어서 동물 병원 응급실로 데려갔어. 치료를 받으면서 좀 나아지는 것 같았는데 결국에 하늘 나라로 갔어.,Sadness
작년보다 5배는 더 늘어나는 것 같대 최근 들어 더 늘어나고 있고.,Sadness
응. 장례하고 오는 길이야.,Sadness
물 마시면 화장실 갈까봐서 참고 있어!,Fear
조금은 무섭긴 하지만 그래도 나는 괜찮은데 친구가 많이 놀란 것 같아.,Fear
괜히 매일 우울한 기분이야.,Sadness
친구가 조금 다친거 말고는 괜찮은 것 같아!,Sadness
스트레칭은 매 시간마다 하고 있어. 그거 땜에 좀 나아진 것 같기도 해.,Neutral
"다른 회사 시험 볼 준비를 해야하는데, 다섯 번이나 떨어지고 나니까 자신이 없어.",Sadness
고마워. 얘기라도 들어줘서.,Sadness
삼년 동안 사귀면서 한 번도 싸운 적이 없었고 서로 마음이 너무 잘 맞아서 헤어질지 몰랐어.,Sadness
이직을 생각하기엔 내가 지금까지 해온 게 아까워.,Sadness
그러게. 집 앞에 산책길 있는데 거기라도 좀 걸어야겠어.,Neutral
둘 다 간신히 잡은 스케줄이라서 미루긴 좀 어려울 것 같은데. 어떻게 해야할지 모르겠다. 너무 스트레스 받아.,Sadness
나 어떻게 살지? 망했어.,Sadness
퇴근한지 얼마나 됐다고 회사에서 또 연락이 왔어.,Angry
응. 항상 얘기 들어줘서 정말 고맙다.,Sadness
지금 1시간도 넘었어 너무하는 거 아니니 연락도 안 되고.	,Angry
3년을 만나면서 한 번도 싸운 적이 없었어. 나중에 알고보니 새로운 사람이 생긴 것 같애.,Sadness
어제 진짜 무서웠어.,Fear
맞아. 마음이 너무 안좋아. 철창안에 갇혀있는 유기견들의 눈빛이 정말 잊혀지질 않아.,Sadness
아니 그만두고 싶어.	,Sadness
"하고 있는 일에 진도가 잘 나가지지 않으니까, 일하고 싶은 마음이 사라졌어. 아무것도 하기 싫고 무기력한 날이 점점 늘어가고 있어.",Sadness
부모님께서 더 기대를 하셨거든. 그래서 말씀 못 드리겠어.,Sadness
나이가 들어서 그런지 어제 갑자기 아파 하더니 세상을 떠났네.	,Sadness
모르겠어. 아무것도 하기 싫고 귀찮고 그러네.,Sadness
한 3년 정도 만났어.,Sadness
한 시간이 훌쩍 넘었어! 이젠 지친다.,Angry
나 남자친구랑 헤어졌어.,Sadness
청소 습관 빼고는 다른 건 다 문제 없어.,Sadness
면접에서 또 떨어졌어.,Sadness
아니. 항상 얘기도 잘 통하고 성격도 잘 맞았어.,Sadness
이 문제로 이야기 해 본 적은 있는데 잘 안 고쳐져.	,Angry
준비한덴 다 떨어지고 이번이 마지막이었거든.,Sadness
나도 오늘 제대로 얘기해 볼 생각이야. 한 시간은 좀 심한 것 같애.,Angry
다른 건 그럭저럭 잘 맞는데 너무 화가 나.	,Angry
허리만 다치셔서 다른 덴 괜찮아.,Sadness
15년 동안 가족처럼 함께한 해피가 갑자기 세상을 떠나서 다들 힘들어하고 슬퍼해.,Sadness
정부 보조금이랑 사람들의 기금으로 운영되고 있어.,Sadness
한 시간이나 기다렸어.,Angry
관리하시는 분 퇴근하셨어. 아무래도 범인을 찾아야되겠어.,Angry
그러니까! 자기가 실수를 했으면 치워야지! 진짜 매너 꽝이야! 너무 화가 난다!,Angry
슬러프가 오는 거 같아.,Sadness
하는 일마다 잘 안되서 그런 것 같아.,Sadness
우리 아빠가 어제 또 다치셨어. 벌써 몇번짼지 모르겠어!,Sadness
아빠 엄마가 실망하실까봐 말씀 못 드려서 아직은 모르셔. 어떻게 말씀 드려야 할지 걱정이야.,Sadness
진짜 무서웠어.	,Fear
헤어진 지 두 달 정도 됐는데 이별 충격때문에 새로운 사람 만나는 것도 두려워.,Sadness
아무도 계약직 여직원한테 관심을 가져주지 않아. 나 혼자 외로운 거야.,Sadness
나 내일 약속 있는데 그대로 가도 될까?,Fear
룸메랑 너무 자주 싸우게 돼.,Angry
2주정도 지나야 생활비가 들어오는데 벌써 생활비를 다 써가.,Sadness
왜 그러겠어! 내가 힘 없고 약한 비정규직 여직원이니까 그런거야!,Angry
괜히 매일 우울한 기분이야.,Sadness
전화해도 안 받고 문자 보내도 답장도 없어 어쩜 이럴 수가 있니?	,Angry
이제 두 달 다 돼 가. 정말 잊을 수가 없어.,Sadness
친구랑 밥 먹고 있는데 갑자기 지진이 발생한 거야.,Fear
오늘 회사에서 전화가 와서 너무 힘들었는데 너한테 이야기하고 나니까 좀 마음이 풀렸어. 앞으로도 너한테 이야기할게.,Happiness
3년 전에 같은 과 선배가 소개시켜줬어.,Sadness
어제 저녁에 진짜 무서웠어.,Fear
우울한 마음이 들어서 요새 집안에만 있었는데 오늘은 밖에 나가서 산책 좀 해야겠어.,Sadness
아직 밥 생각이 없어. 이따 저녁에 부모님 댁에 가서 같이 먹어야지. 말씀도 드리고.,Sadness
가족들 모두다 지금 너무 슬퍼 하는 중이야.	,Sadness
무기력증인가? 힘들고 바쁘긴 한데 너무 하기 싫어.,Sadness
평소에는 싸울 일이 별로 없었어.,Sadness
우리 아빠가 어제 또 다쳤어.	,Sadness
타자마자 해 봤지 하지만 전화도 안 받아.	,Angry
다른 여자가 생긴 것 같아. 권태기라고 하는데 믿을 수가 없어.,Sadness
다들 정신 없어서 그것까진 생각을 못 하고 있는 것 같아. 아빠가 천천히 준비하시겠지.,Sadness
보증금을 빼줘야하는데 내가 보증금 빼줄 여윳돈이 없어. 한동안 같이 살아야지 뭐.,Sadness
합격자 명단 떴는데 내 이름이 없더라고.	,Sadness
벌써 헤어진지 두 달이나 넘었어.,Sadness
룸메이트랑 또 싸웠어.,Sadness
아직 전화도 못 드렸어. 기다리고 계실텐데.,Sadness
"벌써 면접을 다섯 번이나 봤는데, 면접에 다 떨어지고 나니까 너무 속상하고 앞날이 걱정이 돼서 밥맛도 없어.",Sadness
어쩔 수 없이 계속 살아봐야지.,Angry
엄청 흔한 일이야. 저번에는 다쳐서 이마도 꼬맸었어.,Sadness
해피의 장례식은 가족끼리 잘 치뤘어. 해피가 이 세상에 없다고 생각하니까 너무 마음이 아팠어.,Sadness
해봤지 근데 안 맞는거 있지.,Angry
나 요즘 허리가 아파와.,Sadness
일단은 관리하시는 분께 얘기는 해야겠지. 우리가 치울 수는 없으니까.,Neutral
응. 너무 무기력해.,Sadness
그런 것 같긴 한데 아무튼 요즘 그래.	,Sadness
술 드시고 오시다가 계단에서 넘어지셨대.,Sadness
해피가 어제 세상을 떠났어.,Sadness
"다치진 않았는데, 친구랑 밥 먹는데 지진이 난 거야. 얼마나 놀랐는지 모르겠어.",Fear
약속이 있어서 친구 기다리는데 친구가 아직도 안 왔어.	,Angry
얘기를 들어줄 사람이 있어서 너무 행복해. 고마워.,Happiness
요즘 바이러스 무섭잖아. 약속은 강남으로 가야 해.,Fear
"룸메가 내 친군데, 방을 너무 더럽게 쓰는 거야. 음식물 쓰레기를 아무데나 버리고. 그래서 계속 싸웠지, 뭐.",Angry
저금통에 모아 둔 동전들은 지난 달에 다 빼서 썼고 통장에 2만 원 밖에 없어.,Sadness
버텨야지 어쩌겠어. 내가 이 회사 들어오려고 얼마나 노력했는데.,Sadness
모르겠어. 요즘 일도 잘 안 되고 괜히 무기력해.,Sadness
"원래 약속을 잘 안지키는 친구인데, 오늘도 또 그래. 너무 속상하다.",Angry
나 면접에서 또 떨어졌대.,Sadness
다치진 않았는데 사람들이 밥먹다가 놀라서 넘어지고 내 친구는 발을 삐었어.,Fear
괜히 매일 우울한 기분이 들어.,Sadness
마음이 너무 잘 맞아서 평소에 싸운 적이 한 번도 없었어.,Sadness
갑자기 지진이 나 가지고.	,Fear
나 결국 헤어졌어.,Sadness
고마워 나도 몸 잘 추스려볼게.,Sadness
그러게. 이미 취미가 있긴 한데 요즘 잘 안하긴 했어.,Sadness
헤어진 지는 벌써 두 달 정도 됐어.,Sadness
술에 너무 취하셔서. 계단에서 넘어지셨대.,Sadness
처음부터 이러진 않았거든. 그런데 무슨 일인지 최근부턴 많이 늦더라고!,Angry
등산하다가 만났어.	,Sadness
권태기가 왔다고 나한테 정이 떨어졌대.,Sadness
이제는 면접 볼 곳도 없어. 이번이 마지막이었거든.,Sadness
그렇게 말해 줘서 고맙다.	,Sadness
너무 지저분해. 음식물 쓰레기를 여기저기 막 버려.,Angry
배도 안 고파.,Sadness
해피가 어제 세상을 떠났어.,Sadness
이야기. 대화가 돼야지 이야기 시도를 하지.,Angry
내가 집에 들어 올 때면 항상 제일 먼저 반겨주던 해피가 없으니까 해피의 빈자리가 너무 크게 느껴져 해피가 너무 보고 싶어.	,Sadness
어제 저녁에 진짜 무서웠어!,Fear
응. 이야기했는데 소용이 없어.,Angry
맞아. 하루종일 앉아서 컴퓨터만 하고 있으니깐 허리에 무리가 오지.,Sadness
나 결국 헤어지게 됐어.,Sadness
"응, 한번 알아봐야겠다.	",Sadness
나 내일 약속있는데 그대로 가도 될까?,Fear
생명에는 지장 없으시고 병원에 입원해 계셔 지금. 며칠 치료 받아야 된대.,Sadness
15년 동안 함께 해온 해피가 세상을 떠나고 나니까 다들 허전해하시고 힘들어하셔.,Sadness
지금은 괜찮아졌어. 하지만 놀란 마음은 진정이 되질 않네.,Fear
약속 장소에서 기다린지 한시간이 넘었어. 그런데 연락도 없고 오지도 않아.,Angry
룸메와 너무 자주 싸우고 있어.,Angry
양해를 구하고 다음은 괜찮은 지 연락 드려봐야겠어.,Neutral
그럼. 화도 엄청 많이 내고 엄청 많이 싸웠다니까. 근데 이게 안 고쳐져.,Angry
가족들도 경제적으로 너무 힘들기 때문에 도와 달라고 말할 수 있는 입장이 아니야.	,Sadness
털어놓을 사람은 없어. 다들 정규직이고 비정규직은 나 하나뿐이야.,Sadness
그런가? 정말 힘들고 바쁘긴 했는데. 아무 것도 하기 싫다.,Sadness
일주일에 5일 정도 드시니까 거의 매일 드신다고 보시면 돼.,Sadness
집에 가기도 죄송스러워서 그냥 무작정 걷고 있어.,Sadness
같이 있었던 사람들도 너무 놀래서 아직도 심장이 벌렁거린다고들 해.,Fear
"진행하고 있는 프로젝트가 잘 풀리지 않아서, 컨디션도 좋지도 않고 마음이 우울해.",Sadness
헤어진 지 두 달 정도 됐는데 다른 사람 만나는 게 너무나 두려워.,Sadness
괜찮은데 언제 또 나올지 모르니까.,Fear
최근에 권태기가 왔다고 해서 잠깐 안 만났는데 다른 사람이 생겼나봐.,Sadness
밤새워 준비한 기획안을 또 퇴짜 맞았어. 처음부터 다시 하래.,Sadness
내가 약속이 있어서 친구 기다리는데 아직도 안 왔어.,Angry
요즘 룸메이트랑 너무 자주 싸우게 돼.,Angry
다행히 크게 다치진 않으셨나봐. 그래도 위험했어.,Sadness
늦을 때마다 이야기는 해봤어. 무슨 속사정인지 말을 잘 안 하고 있어.,Angry
매너가 좋아서 나한테 잘 맞춰줬거든.,Sadness
군대도 기다렸어서 3년이나 만났지.,Sadness
자기소개하는데 너무 당황해서 엉뚱한 소리를 하고 말았어.,Sadness
나 결국 헤어졌어.,Sadness
저번에 얘기해서 좀 나아지나 싶더니 다시 막 버리고 있어.,Angry
나 정말 바보인가봐.,Sadness
나이가 들어서 병원에 다니다가 세상을 떠났어.,Sadness
회사에서 또 연락이 왔어.	,Angry
나 내일 약속이 있는데 그대로 나가도 될까?,Fear
친구랑 약속있어 나왔는데 밥먹고 있다가 지진이 발생한거야. 얼마나 놀랐는지 몰라.,Fear
우리 아빠가 어제 또 다쳤어.,Sadness
난 아직 안 가봤어. 옆에 있는 친구가 갔다왔는데 허리 디스크라고 그랬대.,Sadness
하루 종일 앉아서 일을 하니까 너무 힘들어.,Sadness
나 어떻게 살지? 망했어.	,Sadness
사람들이 예쁠 때 키우다가 많이 버리더라고.,Sadness
일주일에 다섯 번은 드시는 것 같아. 그 때마다 다치시는 것 같고.,Sadness
해피의 장례식은 가족끼리 잘 치렀어. 해피가 이 세상에 없다고 생각하니까 너무 슬퍼서 한참 울었어.,Sadness
주변 테이블에 있던 사람들이 도망치다가 넘어지고 난리도 아니였어. 그 와중에 친구는 다리까지 삐었고.,Fear
너무 오래 기다려서 화가 나서 친구한테 연락 했는데 전화를 안 받아. 너무 답답해!,Angry
청소 할 때마다 싸우고 있다니깐. 이야기를 해봐도 청소할 때면 꼭 딴 짓을 하고 있어.,Angry
응. 그게 너무 짜증나고 힘들어. 하. 어떡하지? 룸메는 내 고등학교 친구였어. 고등학교 때부터 친했지. 근데 이렇게까지 더러울 줄 몰랐어.,Angry
3년 동안 사귄 남자친구가 갑자기 권태기가 왔다고 잠깐 떨어져있자고 했어. 그런데 나중에 보니까 새로운 여자친구가 생겼더라고.,Sadness
그러게. 아무것도 안하고 있는 시간 좀 가져야 되겠어.,Sadness
가족들도 많이 얘기해 봤는데 고쳐지질 않아 이제는 거의 포기 상태야.	,Angry
아니. 공채 마지막 회사라 다른 회사는 생각도 못 하고 있었어.,Sadness
하고 있는 일의 진도가 잘 나가지지 않아서 일하고 싶은 마음이 사라졌어. 무기력한 날도 점점 늘어가고 있어.,Sadness
면접에 또 떨어졌어.,Sadness
그냥 친구 사이였다가 만난 사이였어.,Sadness
그렇지 않아도 선배가 커피 사줘서 잠깐 마시고 들어왔어.,Sadness
맨날 약속만 잡아놓으면 맨날 늦어 걔는.,Angry
나는 잘하는게 없나봐.,Sadness
룸메이트가 청소를 하나도 안 해. ,Angry
응. 술을 자주 드셔서 저번에는 이마도 찢어지셨어.,Sadness
우리 아빠가 어제 또 다치셨어.,Sadness
두 달이 지났는데 아직도 생각이 나.,Sadness
항상 행복했어. 성격이 잘 맞았거든.,Sadness
배도 안 고파. 그냥 이리저리 왔다갔다 하고있어.,Sadness
특별히 나쁠 건 없어. 그것 빼곤.,Angry
응 엄청 혼났어 기획안 다시 제출 하래.	,Sadness
지금 가족분들도 너무 힘들어 해.,Sadness
내가 만만한가봐. 나한테만 계속 일을 시켜.,Angry
약속 장소가 감염병 확진자가 확인된 강남 지역이라서 너무 걱정돼.,Fear
큰 지진은 지나갔는데 여진이 조금씩 있는 것 같기도 해.,Fear
많이 했지 많이 했지만 소용이 없네.	,Sadness
친구 치료하는 거 보고 나도 서서히 준비하려고.,Sadness
병원에도 못 가. 일이 바빠서 시간을 낼 수가 없어! 친구는 병원에 갔다오더니 너무 고통스러워해.,Sadness
생활비가 다 떨어졌어.,Sadness
어 엄청나게 늘어나고 있더라고.,Sadness
술 드시고 오실 때마다 이야기는 해봤지. 어제는 엄마가 아빠 붙잡고 우시더라.,Sadness
집에 들어오면 항상 제일 먼저 꼬리를 치면서 반겨주던 해피가 없으니까 정말 허전해. 해피가 너무 보고싶어.,Sadness
그렇지 않아도 이따가 친구랑 같이 병원 가보려고.,Fear
고등학교때부터 알던 친군데 약속을 잡을 때마다 매번 늦어서 짜증이 나.,Angry
고등학교 동창이었어 그때는 정말 착한 아이였거든.,Angry
"유기견 다큐멘터리 봤는데, 책임감 없는 사람들 정말 너무하더라.",Angry
그러면 좋긴 한데. 방세 문제도 그렇고. 그런 말 하기가 좀 쉽지가 않잖아. 그래서 따로 살자고 하기는 좀 어려울 것 같애.,Angry
친구가 소개시켜줘서 만나게 되었어. 그때는 정말 좋았어.,Sadness
친구랑 밥먹고 있는데 갑자기 지진이 발생한 거야. 얼마나 놀랐나 몰라.,Fear
응. 정말 그래야겠다. 조언해줘서 정말로 고마워.,Sadness
짜증 나. 회사에서 또 전화 왔어.,Angry
아까 가봤는데 아무도 치우지도 않았어.	,Disgust
취미 시간을 가져서 우울하고 무기력한 마음을 좀 없애봐야겠어.,Sadness
합격자 발표날이라서 회사에 전화를 해봤는데 명단에 내 이름이 없었어.,Sadness
처음엔 권태기인줄 알았더니 나중에 알고봤더니 새로운 사람이 생긴거였어.,Sadness
그동안은 성격이 잘 맞아서 싸운 적도 없는데 갑자기 이렇게 됐어.,Sadness
이번 기획안만 끝내면 조금 쉴 시간이 생겨. 그때 쉬어야지.,Sadness
우리 아빠가 어제 또 다쳤어.,Sadness
제출한 기획안을 다시 처음부터 써오라며 혼났어.,Sadness
다른 것도 잘 안맞는데 그래도 살만은 해.,Sadness
얘기 많이 했지. 그래도 쉽게 바뀌지 않더라고.,Sadness
또 술 드시고 오시다가 계단에서 넘어지셨대.,Angry
빨리 시간이 흘렀으면 좋겠어. 생각 안 나게.,Sadness
봄에 헤어졌으니까 벌써 두 달 정도 되어가.	,Sadness
나 정말 바본가봐.,Sadness
면접에서 또 떨어졌어.,Sadness
지금 눈치 보여서 아무도 못 나가고 있어.,Sadness
해피는 정말 좋은 곳으로 갔을거야.,Sadness
그러고 싶은데 너무 어렵게 들어온 회사라.,Sadness
친구랑 내일 만나기로 한 게 한 달 전부터 약속한거긴 하지만 상황이 너무 안 좋으니까 약속을 미루고 싶어.,Fear
다른 테이블에서 밥 먹던 사람들이 도망치다가 넘어지고. 그 와중에 내 친구는 다리를 삐었어.,Fear
그러니까 요즘 같아선 그만두고 싶어.,Angry
스트레칭을 쉬는 시간마다 하고 있어. 걱정하지 마.,Sadness
"남자친구랑 아무 문제 없이 잘 사귀고 있었는데, 갑자기 어느날 남자친구가 권태기가 왔다고 잠깐 떨어져 있자고 했어. 그런데 알고 보니까 새로운 여자친구가 생겼더라고. 그래서 결국 헤어지게 됐어.",Sadness
몇 만 원밖에 안 남았어.,Sadness
응. 거의 민간에서 운영하고 있는데 그래서 자금난이 힘들다고 해.,Sadness
회사 안에 내 마음을 터놓고 이야기 할 사람이 아무도 없어. 그래서 더 힘들고 짜증이 나.,Sadness
나 이번 면접에 또 떨어졌어.	,Sadness
요즘들어서 룸메이트랑 너무 자주 싸우게 돼.,Angry
따로 살고 싶긴 하지만 보증금을 당장에 빼줄 수가 없어. 조금만 더 참아야되겠어.,Sadness
다들 반려견이 귀여울 때는 정말 좋아하고는 나중에 더 크니까 버리더라.,Angry
난 잘하는게 없나 봐.,Sadness
헤어진 지 두 달정도 됐는데 아직도 실감이 안 나. 너무 힘들어.,Sadness
다들 밥 먹다가 도망치느라고 난리였지 옆 테이블 사람들은 넘어지고 그 사람들 때문에 내 친구는 발을 다쳤어.	,Fear
어제 저녁에 진짜 무서웠어.,Fear
몰라. 자꾸 나한테만 일을 시켜. 다른 사람들도 많은데 왜 자꾸 나한테 전화해서 일을 시키냐고.,Angry
입맛도 없어. 벌써 다섯 번째 떨어졌잖아.,Sadness
많이 놀랐지. 그렇지만 다른 층은 사용하긴 좀 불편해.,Disgust
집 안에만 있으니까 더 우울하고 기분이 다운되는 것 같아. 오늘은 밖에 나가서 산책 좀 해야겠어.,Sadness
이번 면접에 합격한 줄 알고 다른 회사 갈 준비를 거의 못했어.,Sadness
3년 전에 친구 소개로 만나게 되었어.,Sadness
"헤어진지는 한 이틀 정도 됐고, 아직도 좀 충격이 있어.",Sadness
내가 많이 부족한 탓이긴 해. 그 부족함을 메우려고 노력 좀 해야 되겠어.,Sadness
어제 술 드시고 들어오다가 계단에서 넘어졌어.,Sadness
역시 조금 쉬었다 하는게 더 좋을려나.	,Sadness
될 수 있으면 따로 살려고 노력중이야.,Sadness
퇴근한지 얼마나 됐다고. 회사에서 연락 또 왔어.,Angry
생명에는 지장 없고 병원에 일주일 가량 입원해 계셔야 된대.,Sadness
룸메이트 친구랑 또 싸웠어.,Angry
룸메와 너무 자주 싸우게 돼.,Angry
팀장님한테 일 제대로 못 한다고 또 혼났어.	,Sadness
3년 동안 한 번도 다툰 적이 없어. 그 사람이 정말 나한테 잘 맞춰주거든.,Sadness
불합격 문자가 왔어 다음에 다시 지원해달라는.	,Sadness
아무도 못 하고 있어 얼마나 화가 났는데 눈치 보여서 가만히 있어.	,Sadness
우리 아빠가 어제 또 다쳤어.,Sadness
있긴 한데. 이야기해도 그 사람들 입장이 아니니까 잘 이해를 못하더라고.,Sadness
